[41862.00,77.00],
[42456.00,43.00],
[42460.00,5.00],
[41449.00,1335.00],
[41449.00,1335.00],
[41449.00,1335.00],
[41449.00,1335.00],
[41449.00,1335.00],
[41449.00,1335.00],
[41449.00,1335.00],
[41449.00,1335.00],
[41449.00,1335.00],
[41449.00,1335.00],
[41449.00,1335.00],
[41449.00,1335.00],
[41449.00,1335.00],
[41449.00,1335.00],
[41449.00,1335.00],
[41449.00,1335.00],
[41449.00,1335.00],
[41449.00,1335.00],
[41449.00,1335.00],
[41449.00,1335.00],
[41449.00,1335.00],
[41449.00,1335.00],
[41449.00,1335.00],
[41449.00,1335.00],
[41449.00,1335.00],
[41449.00,1335.00],
[41449.00,1335.00],
[41449.00,1335.00],
[41449.00,1335.00],
[41449.00,1335.00],
[41449.00,1335.00],
[41449.00,1335.00],
[41449.00,1335.00],
[42460.00,5.00],
[42460.00,5.00],
[42460.00,5.00],
[41768.00,1211.00],
[41768.00,1211.00],
[42460.00,5.00],
[42460.00,5.00],
[41768.00,1211.00],
[41449.00,1335.00],
[41449.00,1335.00],
[41449.00,1335.00],
[41449.00,1335.00],
[41449.00,1335.00],
[41449.00,1335.00],
[41449.00,1335.00],
[41449.00,1335.00],
[41449.00,1335.00],
[41449.00,1335.00],
[41449.00,1335.00],
[41449.00,1335.00],
[41449.00,1335.00],
[41449.00,1335.00],
[41449.00,1335.00],
[41449.00,1335.00],
[41449.00,1335.00],
[41449.00,1335.00],
[41449.00,1335.00],
[41449.00,1335.00],
[41449.00,1335.00],
[41449.00,1335.00],
[41449.00,1335.00],
[41449.00,1335.00],
[41449.00,1335.00],
[41449.00,1335.00],
[41449.00,1335.00],
[41449.00,1335.00],
[41449.00,1335.00],
tot = 73
time: 7.672
