[42004.00,33.00],
[41965.00,837.00],
[41734.00,923.00],
[42025.00,5.00],
[41734.00,923.00],
[41965.00,837.00],
[41965.00,837.00],
[41734.00,923.00],
[41734.00,923.00],
[41734.00,923.00],
[41734.00,923.00],
[41734.00,923.00],
[41734.00,923.00],
[41734.00,923.00],
[41734.00,923.00],
[41734.00,923.00],
[41734.00,923.00],
[41734.00,923.00],
[41734.00,923.00],
[41734.00,923.00],
[41734.00,923.00],
[41734.00,923.00],
[41734.00,923.00],
[41449.00,1129.00],
[41734.00,923.00],
[41449.00,1129.00],
[41449.00,1129.00],
[41734.00,923.00],
[41734.00,923.00],
[41449.00,1129.00],
[41449.00,1129.00],
[41449.00,1129.00],
[41734.00,923.00],
[41449.00,1129.00],
[41734.00,923.00],
[41449.00,1129.00],
[41734.00,923.00],
[41449.00,1129.00],
[41449.00,1129.00],
[41449.00,1129.00],
[41449.00,1129.00],
[41734.00,923.00],
[41449.00,1129.00],
[41734.00,923.00],
[41734.00,923.00],
[41449.00,1129.00],
[41449.00,1129.00],
[41734.00,923.00],
[41449.00,1129.00],
[41734.00,923.00],
[41734.00,923.00],
[41449.00,1129.00],
[41449.00,1129.00],
tot = 53
time: 853.302s
