[132694.00,14788.50],
[141276.00,7129.00],
[141246.00,9091.00],
[140234.00,10747.00],
[140282.00,9703.00],
[150679.00,4596.50],
[156175.00,692.50],
[132721.00,10890.50],
[140282.00,9703.00],
[160592.00,640.50],
[150657.00,5586.50],
[132708.00,11665.00],
[140282.00,9703.00],
[132721.00,10890.50],
[132721.00,10890.50],
[140282.00,9703.00],
[140282.00,9703.00],
[132721.00,10890.50],
[132721.00,10890.50],
[140282.00,9703.00],
[140282.00,9703.00],
[140282.00,9703.00],
[150679.00,4596.50],
[132696.00,11689.00],
[140282.00,9703.00],
[140282.00,9703.00],
[140282.00,9703.00],
[150679.00,4596.50],
[140282.00,9703.00],
[140282.00,9703.00],
[140282.00,9703.00],
[140282.00,9703.00],
[140282.00,9703.00],
[132721.00,10890.50],
[151453.00,722.50],
[151453.00,722.50],
tot = 36
time: 826.314s
